experiment_id,run_id,run_tag,seed,status,config_hash,wall_sec,energy_kwh,gpu_name,start_utc,end_utc,kill_criterion,kill_verdict,results
STEP1,de6171520a0d,de6171520a0d_minivla-smoke,0,completed,fc5dd8c3e9c9204f,213.78,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T08:35:07+00:00,2026-08-16T08:38:41+00:00,,,"{""decode_peak_vram_gb"": 2.64, ""decode_sec"": 18.9853, ""kill_criterion"": ""fp16 at batch 1 must fit 8 GB with gradient checkpointing"", ""load_sec"": 170.74, ""load_vram_gb"": 2.35, ""lora_config"": {""lora_alpha"": 16, ""r"": 8, ""target_modules"": [""q_proj"", ""k_proj"", ""v_proj"", ""o_proj""]}, ""lora_grad_norm"": 59.81128144264221, ""lora_loss"": 7.82382869720459, ""lora_peak_vram_mb"": 2604.9, ""lora_step_sec"": 3.1519, ""params"": 1252496448, ""verdict"": ""fit""}"
N2prime,178c849b6525,178c849b6525_bit-ordering,0,completed,b1fdd4f516d183d5,18.1,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T08:56:12+00:00,2026-08-16T08:56:30+00:00,,,"{""kill_criterion"": ""no kill criterion \u2014 ordering choice, not a correctness claim"", ""layer"": ""llm.model.layers.0.self_attn.q_proj.weight"", ""layer_type"": ""attention-q-proj"", ""margin_vs_runner_up"": 0.0195, ""ranks"": [8], ""recon_err"": {""bit-reversed"": 0.9185216426849365, ""interleaved"": 0.9364635348320007, ""natural"": 0.9386522769927979}, ""verdict"": ""use bit-reversed for N2"", ""winner"": ""bit-reversed""}"
N3,dec12aad89e5,dec12aad89e5_lipschitz-table,0,completed,d6f72c93eb9f0329,43.28,0.0,,2026-08-16T09:47:42+00:00,2026-08-16T09:48:25+00:00,,,"{""kill_criterion"": ""R2: certified-safe-set <50% at all Pareto points (evaluated in N4)"", ""layers"": {""attention-k-proj"": {""L"": 9.15324149580374, ""m_dims"": [16, 8], ""n_dims"": [32, 28], ""params"": 5888, ""ratio"": 1.4856447732349416, ""sound"": true, ""tight"": 6.161123884192629}, ""attention-o-proj"": {""L"": 1.5914389977522347, ""m_dims"": [32, 28], ""n_dims"": [32, 28], ""params"": 14464, ""ratio"": 1.414424704207235, ""sound"": true, ""tight"": 1.1251493225609444}, ""attention-q-proj"": {""L"": 25.87888815871156, ""m_dims"": [32, 28], ""n_dims"": [32, 28], ""params"": 14464, ""ratio"": 1.3792480331708659, ""sound"": true, ""tight"": 18.763041553314}, ""attention-v-proj"": {""L"": 0.5570266492678684, ""m_dims"": [16, 8], ""n_dims"": [32, 28], ""params"": 5888, ""ratio"": 2.0677938085935343, ""sound"": true, ""tight"": 0.26938210519488165}, ""mlp-down-proj"": {""L"": 1.3274294247569287, ""m_dims"": [32, 28], ""n_dims"": [76, 64], ""params"": 33792, ""ratio"": 1.407038490218704, ""sound"": true, ""tight"": 0.9434208331789123}, ""mlp-gate-proj"": {""L"": 3.5979109452238447, ""m_dims"": [76, 64], ""n_dims"": [32, 28], ""params"": 33792, ""ratio"": 1.3460055836980607, ""sound"": true, ""tight"": 2.673028246538788}, ""mlp-up-proj"": {""L"": 0.5702047209528871, ""m_dims"": [76, 64], ""n_dims"": [32, 28], ""params"": 33792, ""ratio"": 2.059412591239556, ""sound"": true, ""tight"": 0.27687735977649924}}, ""ordering"": ""adaptive near-square"", ""ranks"": [8], ""sound_count"": 7, ""verdict"": ""Layer-1 certificate computed \u2014 soundness holds (bound >= tight norm)""}"
N1,6d638b41119a,6d638b41119a_baseline-seed0,0,failed,d51435a2d2221b10,41.35,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T09:49:00+00:00,2026-08-16T09:49:41+00:00,,,"{""error"": ""ModuleNotFoundError: No module named 'tensorflow_graphics'"", ""seed"": 0}"
N1,44159113eb38,44159113eb38_baseline-seed0,0,failed,d51435a2d2221b10,301.29,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T10:06:00+00:00,2026-08-16T10:11:01+00:00,,,"{""error"": ""NameError: name 'DataLoader' is not defined"", ""seed"": 0}"
N1,da7520c9e4ac,da7520c9e4ac_baseline-seed0,0,failed,d51435a2d2221b10,241.1,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T10:26:05+00:00,2026-08-16T10:30:06+00:00,,,"{""error"": ""AttributeError: 'dict' object has no attribute 'to'"", ""seed"": 0}"
N1,14c82f6e5a36,14c82f6e5a36_baseline-seed0,0,failed,d51435a2d2221b10,563.57,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T10:31:06+00:00,2026-08-16T10:40:30+00:00,,,"{""error"": ""NameError: name 'np' is not defined"", ""seed"": 0}"
N1,a64ef93422ac,a64ef93422ac_baseline-seed0,0,completed,d51435a2d2221b10,671.67,0.0,NVIDIA GeForce RTX 5060 Laptop GPU,2026-08-16T10:42:46+00:00,2026-08-16T10:53:58+00:00,,,"{""batch"": 1, ""delta_int8_minus_ft"": -0.1111, ""eval_acc_finetuned"": 0.2222222238779068, ""eval_acc_int8"": 0.1111111119389534, ""int8_reference_sec"": 388.84, ""seed"": 0, ""steps"": 24, ""train_action_acc_last"": 0.2222222238779068, ""train_loss_last"": 8.79641342163086, ""train_sec"": 25.51, ""verdict"": ""OK""}"
N1,ad0d6b7e1d60,ad0d6b7e1d60_baseline-seed0,0,completed,b91f5f7aab8e29eb,1175.66,0.0,Tesla T4,2026-08-16T19:01:49+00:00,2026-08-16T19:21:24+00:00,,,"{""batch"": 4, ""delta_int8_minus_ft"": -0.3475, ""eval_acc_finetuned"": 0.46875, ""eval_acc_int8"": 0.12121212482452393, ""int8_reference_sec"": 110.24, ""seed"": 0, ""steps"": 2000, ""train_action_acc_last"": 0.5142857432365417, ""train_loss_last"": 2.693023204803467, ""train_sec"": 972.57, ""verdict"": ""OK""}"
experiment_id,run_id,run_tag,seed,status,config_hash,wall_sec,energy_kwh,gpu_name,start_utc,end_utc,kill_criterion,kill_verdict,results
